state,vet_suicides
Alabama,163
Alaska,27
Arizona,242
Arkansas,89
California,706
Colorado,170
Connecticut,54
Delaware,17
Florida*,642
Georgia,218
Hawaii,27
Idaho,68
Illinois,191
Indiana,164
Iowa,83
Kansas,72
Kentucky,124
Louisiana,106
Maine,30
Maryland,90
Massachusetts,59
Michigan,217
Minnesota,112
Mississippi,76
Missouri***,180
Montana,55
Nebraska,34
Nevada,122
New Hampshire,33
New Jersey,92
New Mexico,83
New York,244
North Carolina,207
North Dakota**,25
Ohio,270
Oklahoma,141
Oregon,150
Pennsylvania,285
Rhode Island,18
South Carolina,158
South Dakota,25
Tennessee,190
Texas,527
Utah,71
Vermont,18
Virginia,197
Washington,207
West Virginia,70
Wisconsin,167
Wyoming,30
