state,vet_suicides
Alabama,138
Alaska,27
Arizona,233
Arkansas,96
California,727
Colorado,188
Connecticut,46
Delaware,23
Florida*,631
Georgia,192
Hawaii,20
Idaho,75
Illinois,229
Indiana,184
Iowa,74
Kansas,74
Kentucky,51
Louisiana,97
Maine,44
Maryland,92
Massachusetts,48
Michigan,224
Minnesota,110
Mississippi,81
Missouri***,180
Montana,50
Nebraska,21
Nevada,131
New Hampshire,36
New Jersey,77
New Mexico,80
New York,224
North Carolina,238
North Dakota**,14
Ohio,264
Oklahoma,145
Oregon,140
Pennsylvania,333
Rhode Island,16
South Carolina,137
South Dakota,20
Tennessee,176
Texas,454
Utah,55
Vermont,15
Virginia,203
Washington,238
West Virginia,58
Wisconsin,131
Wyoming,30
