state,vet_suicides
Alabama,130
Alaska,30
Arizona,224
Arkansas,84
California,655
Colorado,196
Connecticut,39
Delaware,15
Florida*,595
Georgia,211
Hawaii,21
Idaho,48
Illinois,183
Indiana,101
Iowa,63
Kansas,88
Kentucky,44
Louisiana,91
Maine,39
Maryland,76
Massachusetts,50
Michigan,230
Minnesota,125
Mississippi,83
Missouri***,180
Montana,53
Nebraska,15
Nevada,104
New Hampshire,42
New Jersey,80
New Mexico,96
New York,205
North Carolina,229
North Dakota**,27
Ohio,275
Oklahoma,112
Oregon,157
Pennsylvania,324
Rhode Island,16
South Carolina,123
South Dakota,21
Tennessee,182
Texas,434
Utah,68
Vermont,19
Virginia,178
Washington,229
West Virginia,67
Wisconsin,128
Wyoming,27
