state,vet_suicides
Alabama,145
Alaska,29
Arizona,225
Arkansas,90
California,665
Colorado,148
Connecticut,44
Delaware,16
Florida*,562
Georgia,97
Hawaii,21
Idaho,53
Illinois,186
Indiana,108
Iowa,63
Kansas,94
Kentucky,34
Louisiana,81
Maine,43
Maryland,91
Massachusetts,30
Michigan,258
Minnesota,113
Mississippi,65
Missouri***,180
Montana,54
Nebraska,5
Nevada,107
New Hampshire,33
New Jersey,93
New Mexico,76
New York,216
North Carolina,200
North Dakota**,18
Ohio,251
Oklahoma,113
Oregon,143
Pennsylvania,309
Rhode Island,21
South Carolina,118
South Dakota,26
Tennessee,150
Texas,454
Utah,63
Vermont,16
Virginia,178
Washington,200
West Virginia,56
Wisconsin,138
Wyoming,22
