state,vet_suicides
Alabama,135
Alaska,24
Arizona,225
Arkansas,81
California,633
Colorado,191
Connecticut,52
Delaware,17
Florida,540
Georgia,182
Hawaii,15
Idaho,65
Illinois,219
Indiana,112
Iowa,70
Kansas,86
Kentucky,44
Louisiana,101
Maine,49
Maryland,105
Massachusetts,51
Michigan,232
Minnesota,103
Mississippi,68
Missouri***,180
Montana,59
Nebraska,18
Nevada,106
New Hampshire,37
New Jersey,80
New Mexico,80
New York,208
North Carolina,225
North Dakota,24
Ohio,282
Oklahoma,109
Oregon,154
Pennsylvania,336
Rhode Island,15
South Carolina,96
South Dakota,29
Tennessee,183
Texas,509
Utah,49
Vermont,10
Virginia,206
Washington,225
West Virginia,73
Wisconsin,136
Wyoming,17
