state,vet_suicides
Alabama,156
Alaska,35
Arizona,240
Arkansas,105
California,705
Colorado,156
Connecticut,52
Delaware,14
Florida*,642
Georgia,175
Hawaii,31
Idaho,70
Illinois,200
Indiana,165
Iowa,71
Kansas,81
Kentucky,104
Louisiana,125
Maine,46
Maryland,85
Massachusetts,75
Michigan,212
Minnesota,91
Mississippi,76
Missouri***,180
Montana,68
Nebraska,21
Nevada,124
New Hampshire,41
New Jersey,94
New Mexico,82
New York,214
North Carolina,222
North Dakota**,24
Ohio,268
Oklahoma,131
Oregon,151
Pennsylvania,285
Rhode Island,20
South Carolina,132
South Dakota,21
Tennessee,155
Texas,535
Utah,75
Vermont,15
Virginia,188
Washington,222
West Virginia,72
Wisconsin,169
Wyoming,29
